name,category,address,tel,lat,long,open,holiday
安茂里支所,市役所・出先機関,長野市大字安茂里１７７７－１,026-226-1223,36.63662,138.171892599999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
小田切支所,市役所・出先機関,長野市大字山田中２５４５,026-229-3330,36.6444838,138.118950199999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
芋井支所,市役所・出先機関,長野市大字桜８２４－３,026-232-7935,36.6762749,138.1549913,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
篠ノ井支所,市役所・出先機関,長野市篠ノ井御幣川２８１－１,026-292-2590,36.5737757,138.138721,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
篠ノ井支所信里連絡室,市役所・出先機関,長野市篠ノ井有旅１１９２－１,026-292-0258,36.5911085,138.102645299999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
松代支所,市役所・出先機関,長野市松代町松代１３６０,026-278-2280,36.5614768,138.200760899999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
若穂支所,市役所・出先機関,長野市若穂綿内７８２7,026-282-2400,36.6144010999999,138.2512021,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
川中島支所,市役所・出先機関,長野市川中島町今井１７５６－１,026-285-2100,36.599585,138.156708999999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
更北支所,市役所・出先機関,長野市青木島町大塚８８１－１,026-285-2001,36.6106153,138.1871059,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
七二会支所,市役所・出先機関,長野市七二会丁２３７３,026-229-2311,36.6275453,138.0777246,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
信更支所,市役所・出先機関,長野市信更町氷ノ田３１８０－１,026-299-2111,36.5720054,138.072485,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
豊野支所,市役所・出先機関,長野市豊野町豊野６３１,026-257-3131,36.7118338,138.282426999999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
戸隠支所,市役所・出先機関,長野市戸隠豊岡１５５４,026-254-2323,36.7018948,138.0889352,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
戸隠支所柵連絡所,市役所・出先機関,長野市戸隠栃原４７８９,026-252-2001,36.6766194,138.067524,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
鬼無里支所,市役所・出先機関,長野市鬼無里日影２７５０－１,026-256-2211,36.6803281,138.001457999999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
大岡支所,市役所・出先機関,長野市大岡乙２８７,026-266-2121,36.5067077,137.988361199999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
芹田支所,市役所・出先機関,長野市若里３－２２－２,026-226-5369,36.6305773,138.196418099999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
古牧支所,市役所・出先機関,長野市西和田１－１２－１,026-243-3153,36.6491451,138.2188736,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
三輪支所,市役所・出先機関,長野市三輪４－１５－４,026-232-2220,36.6606591,138.2029588,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
吉田支所,市役所・出先機関,長野市吉田３－２２－４１,026-241-2694,36.6674225,138.221995399999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
信州新町支所,市役所・出先機関,長野市信州新町新町１０００－１,026-262-2200,36.5676052,138.0068303,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
中条支所,市役所・出先機関,長野市中条２５４９－２,026-268-3001,36.6121547,138.036484299999,8:30-17:15,土曜日・日曜日・国民の祝日・年末年始
清掃センター,ごみ・し尿など,長野市松岡２－４２－１,026-221-5316,36.6232769,138.2228258,8:30-17:15,
リフレッシュプラザ,ごみ・し尿など,長野市松岡２－４２－１,026-222-3196,36.6232769,138.2228258,8:30-17:15,
ストックヤード,ごみ・し尿など,長野市松岡２－２３－２４,000,36.6221418,138.216460099999,8:30-17:15,
不燃物最終処分場,ごみ・し尿など,長野市篠ノ井小松原３５５９－７,026-293-4119,36.6181569,138.1239007,8:30-17:15,
衛生センター,ごみ・し尿など,長野市川合新田２９３８,026-221-6746,36.6220675,138.201373099999,8:30-17:15,
長野市生活環境協同組合,ごみ・し尿など,長野市柳町２０５６,026-232-4322,36.6543486,138.1991318,8:30-17:15,
犀峡衛生センター,ごみ・し尿など,長野市信州新町日原東２２６３－３,026-262-2256,36.5585021,137.9878826,8:30-17:15,
長野市大門駐車場,市営駐車場,長野市大字長野大門町５２０－１,000,36.6555871,138.1873273,000,
長野市緑町駐車場,市営駐車場,長野市大字鶴賀緑町１６１９－１,000,36.650052,138.1930711,000,
長野市長野駅前立体駐車場,市営駐車場,長野市大字南長野南石堂町１３０８,000,36.6433555,138.185619099999,000,
長野市長野駅東口地下駐車場,市営駐車場,長野市大字栗田９９２－１２,000,36.6424196,138.188618899999,000,
長野市長野駅東口駐車場,市営駐車場,長野市大字栗田９９２－１２,000,36.6424196,138.188618899999,000,
長野市長野駅善光寺口駐車場,市営駐車場,長野市大字南長野末広町１３４４－８,000,36.6437,138.1873051,000,
もんぜんぷら座,複合施設,長野市大字南長野新田町１４８５－１,026-219-0020,36.6491852,138.186724599999,000,
長野市保健所,保健所,長野市若里６－６－１,026-226-9941,36.6268747,138.1924103,000,
北部保健センター,保健センター,長野市上松４－４０－６,026-259-2088,36.6783482,138.2016005,000,
三陽保健センター,保健センター,長野市大字西尾張部１１２４－６,026-259-3434,36.646932,138.2305582,000,
吉田保健センター,保健センター,長野市吉田３－２２－４１,026-263-7361,36.6674225,138.221995399999,000,
東部保健センター,保健センター,長野市大字富竹１５７０－１,026-295-3330,36.6688872,138.256572799999,000,
西部保健センター,保健センター,長野市大字安茂里１７７７－１,026-224-1101,36.63662,138.171892599999,000,
松代保健センター,保健センター,長野市松代町東条３５８０－１,026-278-0021,36.5698157,138.2111369,000,
犀南保健センター,保健センター,長野市里島６２,026-293-8080,36.5815421,138.153077199999,000,
真島保健センター,保健センター,長野市真島町真島１３６１－２２,026-286-1010,36.6084501,138.207700299999,000,
豊野保健センター,保健センター,長野市豊野町豊野６２４－２,026-257-5871,36.7118421,138.2817493,000,
戸隠保健センター,保健センター,長野市戸隠豊岡１５５０,026-254-3800,36.7023474999999,138.089076799999,000,
鬼無里保健センター,保健センター,長野市鬼無里日影２７５０－１,026-256-3159,36.6803281,138.001457999999,000,
大岡保健センター,保健センター,長野市大岡乙２５４－１,026-266-3110,36.506005,137.988016799999,000,
若穂保健ステーション,保健センター,長野市若穂綿内７５９４－２,026-278-0021,36.6143455,138.251893699999,000,
ふれあい福祉センター,総合福祉センター,長野市大字鶴賀緑町１７１４－５,000,36.648608,138.196012399999,000,
勤労者女性会館しなのき,勤労者女性会館,長野市大字鶴賀西鶴賀町１４８１－１,026-237-8300,36.6529127,138.193171099999,000,
長野市立長野図書館,図書館,長野市大字長野長門町１０９７－３,026-232-3558,36.6550898,138.184422,000,
長野市立南部図書館,図書館,長野市篠ノ井御幣川１２０１,026-292-0143,36.5739368,138.139262599999,000,
長野市立博物館,博物館,長野市小島田町１４１４,026-284-9011,36.5915672,138.1879258,000,
茶臼山動物園,動物園,長野市篠ノ井有旅５７０－１,026-293-5167,36.5867238,138.1154618,000,
城山動物園,動物園,長野市上松２－１－１９,026-233-0586,36.6653247,138.1936405,000,
戸隠森林植物園,植物園,長野市戸隠３５１０－３５,026-254-2200,36.751258,138.077493499999,000,
少年科学センター,少年科学センター,長野市上松２－４－５,026-232-7383,36.6657464,138.194509299999,000,
生涯学習センター,生涯学習センター,長野市大字鶴賀問御所町１２７１－３,026-233-8080,36.6501212,138.1873884,000,
長野市民会館,文化ホール,長野市大字鶴賀緑町１６４７番地,026-226-6400,36.6487274,138.1956847,000,
長野市若里市民文化ホール,文化ホール,長野市若里３－２２－２,026-223-2223,36.6305773,138.196418099999,000,
ビックハット,多目的アリーナ,長野市若里３－２２－２,026-223-2223,36.6305773,138.196418099999,000,
エムウェーブ,多目的アリーナ,長野市大字北長池１９５,026-222-3300,36.6409473,138.239709599999,000,
篠ノ井市民会館,文化ホール,長野市篠ノ井御幣川２８０,026-292-4123,36.5736229,138.138135,000,
松代文化ホール,文化ホール,長野市松代町松代５１５－２,026-278-4373,36.5617322,138.199958299999,000,
中条音楽堂,文化ホール,長野市中条日下野４６６９－１,026-267-2641,36.6301911,138.041627699999,000,
東部文化ホール,文化ホール,長野市大字小島８０４－５,026-296-8540,36.6638797,138.255331,000,
城山公民館,公民館,長野市大字長野東之門町２４６２,026-232-3111,36.6604087,138.1912435,000,
第一地区分館,公民館・分館,長野市大字長野桜枝町１２４５－１,000,36.6591724,138.1837702,000,
第二地区分館,公民館・分館,長野市大字長野東之門町２４６２－４,000,36.6601837,138.190543599999,000,
中部公民館,公民館,長野市大字鶴賀緑町１５９６－１３,026-234-1883,36.6501243,138.193615499999,000,
第四地区分館,公民館・分館,長野市大字南長野県町４５９－１,000,36.6541761,138.1822168,000,
第五地区分館,公民館・分館,長野市大字南長野北石堂町１１８０－１２,000,36.6467439,138.1857941,000,
芹田公民館,公民館,長野市若里２－８－１８,026-228-3659,36.6321602,138.1923074,000,
古牧公民館,公民館,長野市西和田１－１２－１,026-243-3524,36.6491451,138.2188736,000,
三輪公民館,公民館,長野市三輪４－１５－１,026-234-4430,36.6605425,138.203267099999,000,
吉田公民館,公民館,長野市吉田３－２２－４１,026-241-6354,36.6674225,138.221995399999,000,
古里公民館,公民館,長野市大字金箱６３５－１６,026-295-9707,36.6772693,138.2448265,000,
柳原公民館,公民館,長野市大字小島８０４－５,026-296-8540,36.6638797,138.255331,000,
浅川公民館,公民館,長野市浅川東条３２８－１,026-263-1001,36.6812869,138.2047556,000,
大豆島公民館,公民館,長野市大豆島１０５４－１,026-222-2888,36.6313455,138.2253282,000,
朝陽公民館,公民館,長野市大字北長池１６４０－２,026-243-7251,36.6539560999999,138.2414098,000,
若槻公民館,公民館,長野市大字若槻東条５０５－１,026-295-3355,36.6833899,138.220389699999,000,
長沼公民館,公民館,長野市大字穂保９４１,026-295-9697,36.6868697,138.274739599999,000,
安茂里公民館,公民館,長野市大字安茂里１７７７－１,026-226-4059,36.63662,138.171892599999,000,
小田切公民館,公民館,長野市大字山田中２５４５,026-229-2782,36.6444838,138.118950199999,000,
芋井公民館,公民館,長野市大字桜６００－ト－３,026-235-5778,36.6778384,138.1500445,000,
篠ノ井公民館,公民館,長野市篠ノ井御幣川２８１－１,026-292-2121,36.5737757,138.138721,000,
中央分館,公民館・分館,長野市篠ノ井布施高田８６３－１３,000,36.577717,138.1388097,000,
東福寺分館,公民館・分館,長野市篠ノ井東福寺１８２３－１,000,36.572274,138.1728003,000,
川柳分館,公民館・分館,長野市篠ノ井石川１５５５,000,36.568651,138.119983,000,
共和分館,公民館・分館,長野市篠ノ井小松原２２４５,000,36.6000148,138.130851,000,
信里分館,公民館・分館,長野市篠ノ井有旅３６９５,000,36.591145,138.102614,000,
西寺尾分館,公民館・分館,長野市篠ノ井杵渕２１２－７,000,36.5800937,138.1876345,000,
塩崎分館,公民館・分館,長野市篠ノ井塩崎３３７７,000,36.55231,138.113952,000,
松代公民館,公民館,長野市松代町松代４－３,026-278-3912,36.5632597,138.1982196,000,
松代分館,公民館・分館,長野市松代町松代１３６０,000,36.5614768,138.200760899999,000,
清野分館,公民館・分館,長野市松代町清野２０９,000,36.5626336,138.1765975,000,
西条分館,公民館・分館,長野市松代町西条３６５０,000,36.5492254,138.2018639,000,
豊栄分館,公民館・分館,長野市松代町豊栄５７５５－２,000,36.5443025,138.2283132,000,
東条分館,公民館・分館,長野市松代町東条２５５０－１,000,36.5625441,138.2103428,000,
寺尾分館,公民館・分館,長野市松代町柴３４２－７,000,36.5922027,138.2009382,000,
西寺尾分館,公民館・分館,長野市松代町西寺尾９９２－７,000,36.5753249,138.195402999999,000,
若穂公民館,公民館,長野市若穂綿内７５９７,026-282-2082,36.6141261,138.251668699999,000,
綿内分館,公民館・分館,長野市若穂綿内８５５７－１,000,36.6220642,138.2566848,000,
川田分館,公民館・分館,長野市若穂川田３２８６－１,000,36.606955,138.239277,000,
保科分館,公民館・分館,長野市若穂保科２６９６,000,36.588191,138.2628626,000,
川中島町公民館,公民館,長野市川中島町今井１７６２－１,026-284-8222,36.5991406,138.1567146,000,
川中島分館,公民館・分館,長野市川中島町上氷飽１３８４－１４,000,36.613159,138.150975,000,
中津分館,公民館・分館,長野市川中島町今井７－２,000,36.5931688,138.1530654,000,
御厨分館,公民館・分館,長野市川中島町御厨６２９－１,000,36.5917303,138.161808999999,000,
更北公民館,公民館,長野市青木島町大塚８８０－５,026-284-2046,36.6105597,138.1864921,000,
青木島分館,公民館・分館,長野市青木島町大塚８８０－５,000,36.6105597,138.1864921,000,
稲里分館,公民館・分館,長野市稲里町中央４－４－７,000,36.6052016,138.169383499999,000,
小島田分館,公民館・分館,長野市小島田町５２７－６,000,36.5968001,138.1867869,000,
真島分館,公民館・分館,長野市真島町真島１４９８－６,000,36.607987,138.209626,000,
七二会公民館,公民館,長野市七二会丁１５１,026-229-2761,36.6277731,138.077149599999,000,
信更公民館,公民館,長野市信更町氷ノ田３１８３－２,026-299-2619,36.5715966,138.072682699999,000,
豊野公民館,公民館,長野市豊野町豊野６１２－８,026-257-5875,36.7123087,138.2810994,000,
戸隠公民館,公民館,長野市戸隠栃原４７８９,026-252-2221,36.6766194,138.067524,000,
鬼無里公民館,公民館,長野市鬼無里２０７－４,026-256-2055,36.6804393,138.0053715,000,
上里分館,公民館・分館,長野市鬼無里７４２０－１,000,36.7121916,138.0224017,000,
中央分館,公民館・分館,長野市鬼無里２０７－４,000,36.6804393,138.0053715,000,
南京分館,公民館・分館,長野市鬼無里１３９９４－１,000,36.685757,137.966961099999,000,
大岡公民館,公民館,長野市大岡乙２５２－１,026-266-2413,36.5061982,137.988528099999,000,
信州新町公民館,公民館,長野市信州新町１０００－１,026-262-2345,36.5676052,138.0068303,000,
中条公民館,公民館,長野市中条２３８３－１,026-267-2145,36.6070832,138.0342624,000,
長野運動公園総合運動場,総合運動場,長野市吉田５－１－１９,026-244-7555,36.6607907,138.231227799999,000,
南長野運動公園総合運動場,総合運動場,長野市篠ノ井東福寺３２０,026-293-4062,36.5796538,138.1683089,000,
ホワイトリング,スポーツアリーナ,長野市大字北長池１９５,026-283-7977,36.6409473,138.239709599999,000,
昭和の森公園フィットネスセンター,スポーツセンター,長野市上野２－１２０－１３,026-295-3055,36.6852903,138.2349077,000,
篠ノ井村山健康スポーツセンター,スポーツセンター,長野市篠ノ井山布施８２８２,026-229-3688,36.6155811,138.095539899999,000,
鬼無里上里健康スポーツセンター,スポーツセンター,長野市鬼無里７３９５,000,36.7121055,138.0220018,000,
鬼無里両京健康スポーツセンター,スポーツセンター,長野市鬼無里日影６８３１,000,36.6858847,137.965691699999,000,
芹田体育館,社会体育館,長野市大字鶴賀３８０,000,36.641356,138.200419,000,
川合新田体育館,社会体育館,長野市大字稲葉９４０２,000,36.623345,138.210418,000,
三輪体育館,社会体育館,長野市三輪８－４３－１７,000,36.6647332,138.196626199999,000,
古牧体育館,社会体育館,長野市大字高田６０３－１,000,36.6485423,138.2165877,000,
古里体育館,社会体育館,長野市大字上駒沢１２２２,000,36.6809828,138.2463012,000,
柳原体育館,社会体育館,長野市大字小島８２８,000,36.6633548,138.255064299999,000,
浅川体育館,社会体育館,長野市浅川東条３２７－１,000,36.6809813,138.2046557,000,
北郷体育館,社会体育館,長野市北郷３０６５－２,000,36.7025955,138.172707299999,000,
朝陽体育館,社会体育館,長野市大字石渡８,000,36.6627417,138.2400526,000,
長沼体育館,社会体育館,長野市大字穂保９４３－イ－１,000,36.6866308,138.2752201,000,
裾花体育館,社会体育館,長野市大字安茂里１７７８－１,000,36.6368006,138.172386999999,000,
安茂里体育館,社会体育館,長野市安茂里小市３－２７－１１,000,36.6228986,138.142640199999,000,
芋井体育館,社会体育館,長野市大字桜５６７,000,36.6755387,138.1501223,000,
篠ノ井体育館,社会体育館,長野市篠ノ井岡田２０５９－1,000,36.5859631999999,138.130799,000,
小松原体育館,社会体育館,長野市篠ノ井小松原１０５６－２,000,36.6143272,138.1357663,000,
塩崎体育館,社会体育館,長野市塩崎５２６８,000,36.557619,138.1176542,000,
松代体育館,社会体育館,長野市松代町西条３８３８,000,36.5530949,138.2027447,000,
若穂体育館,社会体育館,長野市若穂綿内７５９８－２,000,36.6137539,138.251718699999,000,
川中島体育館,社会体育館,長野市川中島町上氷鉋１７－１,000,36.6048567,138.1555422,000,
七二会体育館,社会体育館,長野市七二会丁２３７６－１,000,36.6280147,138.0771829,000,
信更体育館,社会体育館,長野市信更町氷ノ田３１４８－１,000,36.5702668,138.0712836,000,
豊野体育館,社会体育館,長野市豊野町豊野６２４,000,36.7123336999999,138.281691,000,
戸隠体育館,社会体育館,長野市戸隠栃原４７８８－２,000,36.6764528,138.0681601,000,
大岡体育館,社会体育館,長野市大岡乙２９８－１,000,36.5067635,137.9925246,000,
信州新町体育館,社会体育館,長野市信州新町１０００－１,000,36.5676052,138.0068303,000,
中条体育館,社会体育館,長野市中条２３２８－２,000,36.6067138,138.033976299999,000,
